__3_segundos	"3 segundos"	"3 seconds"
__5_segundos	"5 segundos"	"5 seconds"
__10_segundos	"10 segundos"	"10 seconds"
__10_anos	"10 anos"	"10 years"
__12_anos	"12 anos"	"12 years"
__14_anos	"14 anos"	"14 years"
__16_anos	"16 anos"	"16 years"
__18_anos	"18 anos"	"18 years"
__Aberto	"Aberto"	"Opened"
__Acesse	"Acesse"	"Access"
__Aceite_dos_termos_de_uso	"Aceite dos termos de uso"	"Terms and conditions acceptance"
__Aceito_e_concordo_com_os_termos_e_condicoes_de_uso	"Aceito e concordo com os termos e condições de uso"	"I accept and agree to the terms and conditions of use"
__Acesso_Condicional	"Acesso Condicional"	"Conditional Access"
__Agendamentos	"Agendamentos"	"Schedules"
__Agendar_gravacao	"Agendar gravação"	"Schedule recording"
__Agronegocio	"Agronegócio"	"Agribusiness"
__Aguarde_ate_a_conclusao_do_processo	"Aguarde até a conclusão do processo"	"Wait until the process is completed"
__Aguarde	"Aguarde..."	"Please wait..."
__Ajuste_antena_utilizando_medidor	"Ajuste a antena utilizando o medidor de qualidade para obter o melhor nível de sinal possível."	"Adjust the antenna using the quality meter to obtain the best possible signal level."
__Ajustes	"Ajustes"	"Settings"
__Ajustes_gerais	"Ajustes Gerais"	"General Settings"
__Alterado_segment_bouquet_id	"Alterado Segmento Bouquet de %d para %d"	"Changed Segment Bouquet Id %d to %d"
__Alterado_zone_id	"Alterado Zone Id de %d para %d"	"Changed Zone Id %d to %d"
__Alterar_senha_parental	"Alterar Senha Parental"	"Change Parental Password"
__Amarelo	"Amarelo"	"Yellow"
__Analogico	"Analógico"	"Analog"
__Apagar	"Apagar"	"Delete"
__Apagar_satelite	"Apagar Satélite"	"Delete satellite"
__Aponte_a_camera_qrcode_ativar	"Aponte a câmera no QR Code para ativar o seu receptor"	"Point the camera at the QR Code to activate your box"
__Aponte_a_camera_qrcode_falar_conosco	"Aponte a câmera no QR Code para falar conosco"	"Point the camera at the QR Code to contact us"
__Aponte_sua_antena	"Aponte sua antena"	"Point your antenna"
__Aproveite	"Aproveite"	"Enjoy"
__Aproveite_o_seu	"Aproveite o seu"	"Enjoy your"
__Arquivo_encontrado	"Arquivo encontrado!"	"File found!"
__Arquivo_muito_grande_dimensao_maxima_1280x720	"Arquivo muito grande. Dimensão máxima 1280x720"	"File too large. Maximum dimension 1280x720"
__Arquivo_muito_grande_dimensao_maxima_1920x1080	"Arquivo muito grande. Dimensão máxima 1920x1080"	"File too large. Maximum dimension 1920x1080"
__Arquivo_nao_encontrado	"Arquivo não encontrado!"	"File not found!"
__Assistir	"Assistir"	"watch"
__Ativ_do_Midiabox	"Ativ. do MidiaBox"	"MidiaBox activation"
__Ativacao	"Ativação"	"Activation"
__Ative_o_seu_Midiabox	"Ative o seu MidiaBox"	"Activate Your MidiaBox"
__Ative_o_seu_Midiabox_Aguardando	"Ative o seu MidiaBox. Aguardando %ds"	"Activate Your MidiaBox, Waiting %ds"
__Ative_seu_receptor	"Ative seu receptor"	"Activate Your set_top_box"
__Ativo	"Ativo"	"Active"
__Atualizacao_de_Lista_de_Canais	"Atualização de Lista de Canais"	"Channel List Update"
__Atualizacao_de_software	"Atualização de Software"	"Sofwtare Update"
__Atualizacao_de_software_via_satelite	"Atualização de Software via Satélite"	"Sofwtare Update via Satellite"
__Atualizacao_de_software_via_usb	"Atualização de Software via USB"	"Sofwtare Update via USB"
__Atualizacao_encontrada_com_sucesso_Midiabox_sera_reiniciado	"Atualização encontrada com sucesso. MidiaBox será reiniciado, por favor aguarde ..."	"Update found successfully. MidiaBox will be restarted, please wait..."
__Atualizacao_obrigatoria_de_software	"Atualização Obrigatória de Software"	"Mandatory Sofwtare Update"
__Atualizacao_via_satelite_nao_encontrada	"Atualização via satélite não encontrada."	"Satellite Update not found."
__Atualizacoes	"Atualizações"	"Updates"
__Atualizando_lista_de_canais_via_satelite_Por_favor_aguarde	"Atualizando lista de canais via satélite. Por favor aguarde."	"Updating channel list from satellite. Please wait."
__Atualizando_software_e_configuracao_do_receptor_Por_favor_aguarde	"Atualizando software e configuração do receptor. Por favor aguarde."	"Updating software and set-top-box configuaration. Please wait."
__Audio	"Áudio"	"Audio"
